stage,oxygen_mg,saturation,kpa,temperature,dry_weight_g,mo2,mo2.1,mo2.2,mo2.3,mo2.4,kpa.mean
Embryo,6,55.85,14.14,12,0.000092,5.52E-06,0.06003947,0.001877407,1.87740681,0.000172721,14.15
Embryo,6,55.85,14.14,12,0.00007228,6.67E-06,0.09230989,0.002886488,2.88648811,0.000208635,14.15
Embryo,6,55.85,14.14,12,0.000064,6.27E-06,0.097925662,0.003062091,3.062090738,0.000195974,14.15
Embryo,6,55.85,14.14,12,0.00008142,5.21E-06,0.064025034,0.002002034,2.002033597,0.000163006,14.15
Embryo,6,55.85,14.14,12,0.0001,6.08E-06,0.060796484,0.001901078,1.901078284,0.000190108,14.15
Juvenile,6,55.85,14.14,12,0.03411,0.01810328,0.530732349,0.016595758,16.59575825,0.566081314,14.15
Juvenile,6,55.85,14.14,12,0.04415,0.014389579,0.325924778,0.010191519,10.19151901,0.449955564,14.15
Juvenile,6,55.85,14.14,12,0.03773,0.017235684,0.456816438,0.014284442,14.28444147,0.538951977,14.15
Juvenile,6,55.85,14.14,12,0.0598,0.016506806,0.27603355,0.008631443,8.631443086,0.516160297,14.15
Juvenile,6,55.85,14.14,12,0.0395,0.01498,0.379240506,0.011858678,11.8586775,0.468417761,14.15
Juvenile,6,55.85,14.14,12,0.05058,0.0191675,0.378954132,0.011849723,11.8497227,0.599358974,14.15
Juvenile,6,55.85,14.14,12,0.04199,0.018354197,0.437108761,0.013668191,13.66819141,0.573927357,14.15
Juvenile,6,55.85,14.14,12,0.05762,0.018493368,0.320953972,0.010036084,10.03608418,0.578279171,14.15
Juvenile,6,55.85,14.14,12,0.07994,0.018251443,0.228314277,0.007139283,7.139283207,0.5707143,14.15
Juvenile,6,55.85,14.14,12,0.06219,0.01835732,0.295181212,0.009230182,9.230181745,0.574025003,14.15
Megalopae,6,55.85,14.14,12,0.000588,0.000282732,0.480836206,0.015035529,15.03552864,0.008840891,14.15
Megalopae,6,55.85,14.14,12,0.000574,0.000211622,0.368679443,0.011528438,11.52843785,0.006617323,14.15
Megalopae,6,55.85,14.14,12,0.000494,0.000249005,0.504057692,0.015761654,15.76165392,0.007786257,14.15
Megalopae,6,55.85,14.14,12,0.000832,0.000272993,0.328116089,0.01026004,10.26004032,0.008536354,14.15
Megalopae,6,55.85,14.14,12,0.00088,0.000226028,0.25685019,0.008031588,8.031588192,0.007067798,14.15
Megalopae,6,55.85,14.14,12,0.000914,0.000232244,0.254096395,0.007945478,7.945478257,0.007262167,14.15
Megalopae,6,55.85,14.14,12,0.000744,0.000221275,0.29741243,0.009299951,9.299950917,0.006919164,14.15
Megalopae,6,55.85,14.14,12,0.000898,0.000289437,0.32231311,0.010078584,10.0785838,0.009050568,14.15
Megalopae,6,55.85,14.14,12,0.0006,0.000342124,0.570206702,0.017830103,17.83010324,0.010698062,14.15
Megalopae,6,55.85,14.14,12,0.00063,0.000343204,0.544767988,0.017034646,17.03464628,0.010731827,14.15
Adult,9,83.78,21.21,12,0.6349,0.205376175,0.323477988,0.010115009,10.11500902,6.422019227,21.23
Adult,9,83.78,21.21,12,0.9365,0.224575165,0.239802632,0.007498519,7.498518823,7.022362878,21.23
Adult,9,83.78,21.21,12,1.0501,0.202278681,0.192628018,0.00602339,6.02339017,6.325162018,21.23
Adult,9,83.78,21.21,12,0.7858,0.216638142,0.275691196,0.008620738,8.620737847,6.7741758,21.23
Adult,9,83.78,21.21,12,0.7558,0.201022623,0.265973304,0.008316864,8.316863781,6.285885646,21.23
Adult,9,83.78,21.21,12,0.7935,0.237165622,0.298885472,0.009346012,9.346012242,7.416060714,21.23
Adult,9,83.78,21.21,12,0.7907,0.191780645,0.242545397,0.007584284,7.584283824,5.99689322,21.23
Adult,9,83.78,21.21,12,0.6304,0.208489247,0.330725329,0.01034163,10.34163005,6.519363581,21.23
Adult,9,83.78,21.21,12,0.8024,0.15814631,0.197091613,0.006162965,6.162964755,4.945162919,21.23
Adult,9,83.78,21.21,12,0.7906,0.165812128,0.209729481,0.006558145,6.558145121,5.184869533,21.23
Embryo,9,83.78,21.21,12,0.000079,0.00000818,0.103544113,0.003237777,3.237777156,0.000255784,21.23
